"PERMNO","Company Name","Ticker","SP500 Start","SP500 End"
"44792","INTERGRAPH CORP","INGR","Nov. 8, 1984","July 25, 1997"
"44951","SUPER VALU STORES INC","SVU","Jan. 31, 1985","April 30, 2012"
"45014","RAMADA INNS INC","RAM","Dec. 9, 1971","Dec. 20, 1989"
"45495","ROWAN COMPANIES INC","RDC","Jan. 10, 1985","Aug. 18, 2014"
"45604","SQUIBB CORP","SQB","Sept. 10, 1981","Oct. 4, 1989"
"45671","SCIENTIFIC ATLANTA INC","SFA","Feb. 26, 1981","Feb. 24, 2006"
"45751","MARSH & MCLENNAN COS INC","MMC","Aug. 6, 1987","Dec. 29, 2023"
"45970","ZURN INDUSTRIES INC","ZRN","March 11, 1982","Dec. 19, 1995"
"46228","READING & BATES CORP","RB","Jan. 20, 1972","Aug. 23, 1989"
"46295","FLEETWOOD ENTERPRISES INC","FLE","May 9, 1974","Jan. 28, 2000"
"46544","JERRICO INC","JERR","May 7, 1987","Sept. 20, 1989"
"46578","CLOROX CO","CLX","Jan. 16, 1969","Dec. 29, 2023"
"46594","USLIFE CORP","USH","Nov. 11, 1982","June 17, 1997"
"46615","COLECO INDUSTRIES INC","CLO","Aug. 19, 1982","July 13, 1988"
"46658","CONTINENTAL CORP","CIC","July 1, 1976","May 9, 1995"
"46674","GENUINE PARTS CO","GPC","Nov. 15, 1973","Dec. 29, 2023"
"46703","MARRIOTT CORP","MHS","June 25, 1970","Oct. 11, 1993"
"46754","AMERICAN MEDICAL INTL INC","AMI","Feb. 8, 1979","Oct. 25, 1989"
"46850","AETNA LIFE & CASUALTY CO","AET","July 1, 1976","Dec. 13, 2000"
"46877","BARD C R INC","BCR","June 12, 1975","Jan. 2, 2018"
"46922","RITE AID CORP","RAD","Dec. 11, 1975","July 26, 2000"
"47079","CITICORP","CCI","July 1, 1976","Oct. 7, 1998"
"47271","FLEMING COMPANIES INC","FLM","Dec. 10, 1987","Dec. 23, 1997"
"47300","TRAVELERS CORP","TIC","July 1, 1976","Dec. 30, 1993"
"47466","NEW YORK TIMES CO","NYT","Nov. 23, 1984","Dec. 17, 2010"
"47490","RUSSELL CORP","RML","Nov. 23, 1984","Dec. 11, 2000"
"47626","C N A FINANCIAL CORP","CNA","July 1, 1976","March 1, 1994"
"47896","CHEMICAL NEW YORK CORP","CHL","July 1, 1976","Dec. 29, 2023"
"47941","GANNETT CO INC","GCI","Dec. 11, 1975","June 1, 2017"
"47992","BEVERLY ENTERPRISES","BEV","June 5, 1986","Dec. 3, 1997"
"48071","MORGAN J P & CO INC","JPM","July 1, 1976","Dec. 29, 2000"
"48223","MANUFACTURERS HANOVER CORP","MHC","July 1, 1976","Dec. 31, 1991"
"48354","BANKERS TRUST NY CORP","BT","July 1, 1976","June 3, 1999"
"48397","AMERICAN GENERAL CORP","AGC","July 1, 1976","Aug. 29, 2001"
"48485","JEFFERSON PILOT CORP","JP","July 1, 1976","March 31, 2006"
"48506","DUN & BRADSTREET CORP","DNB","Dec. 27, 1979","Dec. 29, 2023"
"48565","U S HOME CORP","UH","June 20, 1974","April 16, 1991"
"48653","HUMANA INC","HUM","Feb. 8, 1979","March 5, 1993"
"48725","UNION PACIFIC CORP","UNP","July 16, 1969","Dec. 29, 2023"
"48960","KNIGHT RIDDER INC","KRI","Dec. 11, 1975","June 27, 2006"
"49015","LINCOLN NATIONAL CORP","LNC","July 1, 1976","Sept. 15, 2023"
"49154","DAYTON HUDSON CORP","DH","Dec. 9, 1976","Dec. 29, 2023"
"49373","BLOCK H & R INC","HRB","Nov. 28, 1986","Sept. 18, 2020"
"49429","DILLARD DEPARTMENT STORES INC","DDS","Oct. 2, 1986","Oct. 21, 2008"
"49606","LIN BROADCASTING CORP","LINB","Aug. 1, 1985","March 2, 1990"
"49744","POTLATCH CORP","PCH","April 23, 1970","July 6, 2001"
"49905","LIZ CLAIBORNE INC","LIZC","Oct. 25, 1984","Dec. 1, 2008"
"50024","WELLS FARGO & CO NEW","WFC","April 23, 1987","Nov. 2, 1998"
"50032","ALBERTSONS INC","ABS","Nov. 23, 1984","June 1, 2006"
"50156","LOTUS DEVELOPMENT CORP","LOTS","Sept. 18, 1986","July 3, 1995"
"50227","BURLINGTON NORTHERN INC","BNI","March 5, 1970","Feb. 12, 2010"
"50404","M C I COMMUNICATIONS CORP","MCIC","June 24, 1982","Sept. 14, 1998"
"50737","BROCKWAY INC NY","BRK","March 26, 1987","March 2, 1988"
"50876","LILLY ELI & CO","LLY","Nov. 19, 1970","Dec. 29, 2023"
"50956","U S F & G CORP","FG","July 1, 1976","April 24, 1998"
"51377","NATIONAL SEMICONDUCTOR CORP","NSM","Dec. 9, 1976","Sept. 23, 2011"
"51561","HOSPITAL CORP AMERICA","HCA","Feb. 8, 1979","March 15, 1989"
"51625","SERVICE CORP INTERNATIONAL","SRV","Dec. 18, 1986","March 15, 2000"
"51772","BANK OF BOSTON CORP","BKB","July 1, 1976","Sept. 30, 1999"
"52038","SYSCO CORP","SYY","Dec. 18, 1986","Dec. 29, 2023"
"52337","NATIONAL MEDICAL ENTERPRISES INC","NME","Feb. 8, 1979","April 15, 2016"
"52695","GRAINGER W W INC","GWW","May 14, 1981","Dec. 29, 2023"
"52919","MERRILL LYNCH & CO INC","MER","April 8, 1982","Dec. 31, 2008"
"52978","HASBRO INC","HAS","Sept. 13, 1984","Dec. 29, 2023"
"53081","CAPITAL HOLDING CORP","CPH","July 1, 1976","June 10, 1997"
"53401","COMMUNITY PSYCHIATRIC CENTERS","CMY","June 25, 1987","Oct. 15, 1996"
"53612","LONGS DRUG STORES INC","LDG","Nov. 21, 1985","June 29, 2001"
"53786","BROWNING FERRIS INDUSTRIES INC","BFI","Aug. 14, 1975","July 30, 1999"
"53831","CENTEX CORP","CTX","March 31, 1977","Aug. 18, 2009"
"53858","FIRST CHICAGO CORP","FNB","July 1, 1976","Nov. 30, 1995"
"54148","P H M CORP","PHM","April 12, 1984","Dec. 29, 2023"
"54447","PRIME MOTOR INNS INC","PDQ","July 17, 1986","Sept. 19, 1990"
"54754","FORT HOWARD CORP","FHP","Sept. 26, 1985","Aug. 10, 1988"
"55212","SEALED POWER CORP","SPW","Feb. 3, 1983","July 12, 1995"
"55976","WAL MART STORES INC","WMT","Aug. 19, 1982","Dec. 29, 2023"
"56223","LOUISIANA PACIFIC CORP","LPX","Oct. 17, 1974","Nov. 9, 2006"
"56266","AHMANSON H F & CO","AHM","May 31, 1973","Sept. 30, 1998"
"56274","CONAGRA INC","CAG","Sept. 1, 1983","Dec. 29, 2023"
"56450","N B D BANCORP INC","NBD","April 23, 1987","Oct. 1, 1998"
"56573","ILLINOIS TOOL WORKS INC","ITW","Feb. 13, 1986","Dec. 29, 2023"
"57381","WASTE MANAGEMENT INC","WMX","Aug. 13, 1981","July 16, 1998"
"57568","BALL CORP","BLL","Oct. 4, 1984","Dec. 29, 2023"
"57592","DATA GENERAL CORP","DGN","June 25, 1981","Oct. 12, 1999"
"57817","NORDSTROM INC","NOBE","Aug. 7, 1986","June 19, 2020"
"58085","WESTERN COMPANY OF NORTH AMERICA","WSN","Dec. 10, 1981","Feb. 10, 1988"
"58296","FIRST MISSISSIPPI CORP","FRM","Feb. 6, 1975","Oct. 20, 1995"
"58480","BALLY MANUFACTURING CORP","BLY","Oct. 10, 1985","Dec. 18, 1996"
"58596","NOXELL CORP","NOXL","Aug. 9, 1984","Nov. 30, 1989"
"58640","NORTHERN TELECOM LTD","NT","Nov. 20, 1980","July 19, 2002"
"58827","BANKAMERICA CORP","BAC","July 1, 1976","Sept. 30, 1998"
"58990","DOW JONES & CO INC","DJ","May 4, 1978","Dec. 13, 2007"
"59010","GAP INC","GPS","Aug. 21, 1986","Feb. 2, 2022"
"59176","AMERICAN EXPRESS CO","AXP","July 1, 1976","Dec. 29, 2023"
"59184","ANHEUSER BUSCH COS INC","BUD","July 1, 1976","Nov. 18, 2008"
"59192","CHUBB CORP","CB","July 1, 1976","Jan. 15, 2016"
"59205","CHURCHS FRIED CHICKEN INC","CHU","Nov. 17, 1977","March 1, 1989"
"59248","COORS ADOLPH CO","ACCOB","July 1, 1976","Dec. 29, 2023"
"59328","INTEL CORP","INTC","Dec. 9, 1976","Dec. 29, 2023"
"59379","MELLON BANK CORP","MEL","July 1, 1976","June 29, 2007"
"59408","N C N B CORP","NCB","July 1, 1976","Dec. 29, 2023"
"59432","ROADWAY SERVICES INC","ROAD","July 1, 1976","Jan. 27, 1998"
"59440","SAFECO CORP","SAFC","July 1, 1976","Sept. 22, 2008"
"59459","ST PAUL COS INC","STPL","July 1, 1976","Dec. 29, 2023"
"59467","WESTMORELAND COAL CO","WMOR","Oct. 21, 1976","June 30, 1993"
"59483","YELLOW FREIGHT SYSTEM INC DE","YELL","July 1, 1976","Oct. 31, 1996"
"59707","DATAPOINT CORP","DPT","June 25, 1981","April 1, 1991"
"59926","MANOR CARE INC","MNR","June 12, 1986","Sept. 25, 1998"
"60046","AMDAHL CORP","AMH","Oct. 23, 1986","Sept. 12, 1997"
"60097","MEDTRONIC INC","MDT","Oct. 23, 1986","Dec. 29, 2023"
"60206","SNAP ON TOOLS CORP","SNA","Sept. 16, 1982","Dec. 29, 2023"
"60337","PRIME COMPUTER INC","PRM","Dec. 27, 1984","Aug. 23, 1989"
"60506","PACCAR INC","PCAR","Oct. 2, 1980","Dec. 29, 2023"
"60628","FEDERAL EXPRESS CORP","FDX","Nov. 6, 1980","Dec. 29, 2023"
"60900","COMPUTERVISION CORP","CVN","March 1, 1984","Feb. 10, 1988"
"61065","TOYS R US INC","TOY","Sept. 8, 1983","July 21, 2005"
"61241","ADVANCED MICRO DEVICES INC","AMD","June 21, 1984","Sept. 20, 2013"
"61284","BARNETT BANKS INC","BBI","Oct. 4, 1984","Jan. 9, 1998"
"61399","LOWES COMPANIES INC","LOW","March 1, 1984","Dec. 29, 2023"
"61583","JAMES RIVER CORP VA","JR","May 8, 1986","Nov. 22, 2000"
"61743","DELUXE CHECK PRINTERS INC","DLX","April 24, 1986","Dec. 17, 2004"
"61970","KRAFT INC NEW","KRA","Sept. 29, 1980","Dec. 7, 1988"
"62148","C S X CORP","CSX","Nov. 6, 1980","Dec. 29, 2023"
"62164","CRAY RESEARCH INC","CYR","May 9, 1985","March 27, 1996"
"62324","MOORE CORP LTD","MCL","Aug. 20, 1987","May 27, 1999"
"62834","ENGELHARD CORP","EC","July 7, 1983","June 5, 2006"
"63060","WENDYS INTERNATIONAL INC","WEN","March 4, 1982","Sept. 29, 2008"
"63108","C N W CORP","CNW","Dec. 29, 1983","July 19, 1989"
"63802","UNITED CABLE TELEVISION","UCT","Jan. 9, 1986","May 31, 1989"
"64020","LUBYS CAFETERIAS INC","LUB","May 16, 1985","Dec. 31, 1996"
"64064","PRICE CO","PCLB","Sept. 12, 1985","Oct. 21, 1993"
"64186","C I G N A CORP","CI","April 8, 1982","Dec. 29, 2023"
"64207","CULLINET SOFTWARE INC","CUL","May 3, 1984","Sept. 13, 1989"
"64282","LIMITED INC","LTD","Sept. 15, 1983","Dec. 29, 2023"
"64311","NORFOLK SOUTHERN CORP","NSC","June 3, 1982","Dec. 29, 2023"
"64477","ROLLINS ENVIRONMENTAL SVCS INC","REN","Nov. 21, 1985","March 31, 1995"
"64629","MCDERMOTT INTERNATIONAL INC","MDR","Jan. 3, 1983","Aug. 19, 2003"
"64936","DOMINION RESOURCES INC VA","D","May 20, 1983","Dec. 29, 2023"
"65066","SAFETY KLEEN CORP","SK","Oct. 8, 1987","March 31, 1998"
"65787","TRIBUNE COMPANY NEW","TRB","Jan. 30, 1986","Dec. 20, 2007"
"65816","WANG LABORATORIES INC","WAN","Aug. 28, 1980","Aug. 19, 1992"
"65859","AMERICAN INFORMATION TECHS CORP","AIT","Dec. 1, 1983","Oct. 8, 1999"
"65875","BELL ATLANTIC CORP","BEL","Dec. 1, 1983","Dec. 29, 2023"
"65883","BELLSOUTH CORP","BLS","Dec. 1, 1983","Jan. 3, 2007"
"66018","NYNEX CORP","NYN","Dec. 1, 1983","Aug. 14, 1997"
"66026","PACIFIC TELESIS GROUP","PAC","Dec. 1, 1983","March 31, 1997"
"66069","SANTA FE SOUTHN PAC CORP","SFX","Dec. 29, 1983","Sept. 21, 1995"
"66093","SOUTHWESTERN BELL CORP","SBC","Dec. 1, 1983","Dec. 29, 2023"
"66114","TEMPLE INLAND INC","TIN","Dec. 18, 1986","Dec. 28, 2007"
"66122","U S WEST INC","USW","Dec. 1, 1983","July 5, 2000"
"66800","AMERICAN INTERNATIONAL GROUP INC","AIG","Feb. 14, 1980","Dec. 29, 2023"
"69024","LORIMAR TELEPICTURES CORP","LT","April 3, 1986","Jan. 11, 1989"
"70229","SHARED MEDICAL SYSTEMS CORP","SMED","Oct. 25, 1984","June 7, 2000"
"70376","SHONEYS INC","SHON","Jan. 31, 1985","Dec. 31, 1996"
"71765","CONSOLIDATED RAIL CORP","CRR","July 9, 1987","May 23, 1997"
"74617","TANDEM COMPUTERS INC","TDM","March 1, 1984","Aug. 29, 1997"
"75030","TELE COMMUNICATIONS INC","TCOMA","Aug. 1, 1985","March 9, 1999"
"75034","BAKER HUGHES INC","BHI","April 9, 1987","Dec. 29, 2023"
"75181","PLACER DOME INC","PDG","Aug. 20, 1987","July 19, 2002"
"90721","OSHKOSH B GOSH INC","GOSHA","Jan. 23, 1986","May 26, 1995"
"91380","REEBOK INTERNATIONAL LTD","RBK","Jan. 8, 1987","Jan. 31, 2006"
